index,title,slug,tags,difficulty,related_questions
551,Student Attendance Record I,student-attendance-record-i,String,Easy,552
552,Student Attendance Record II,student-attendance-record-ii,Dynamic Programming,Hard,551
553,Optimal Division,optimal-division,"Array,Math,Dynamic Programming",Medium,
554,Brick Wall,brick-wall,"Array,Hash Table",Medium,2322
555,Split Concatenated Strings,split-concatenated-strings,"Array,String,Greedy",Medium,
556,Next Greater Element III,next-greater-element-iii,"Math,Two Pointers,String",Medium,"496,503,1997"
557,Reverse Words in a String III,reverse-words-in-a-string-iii,"Two Pointers,String",Easy,541
560,Subarray Sum Equals K,subarray-sum-equals-k,"Array,Hash Table,Prefix Sum",Medium,"1,523,713,724,1016,1776,2211,2369"
561,Array Partition I,array-partition-i,"Array,Greedy,Sorting,Counting Sort",Easy,"2112,2248,2261"
562,Longest Line of Consecutive One in Matrix,longest-line-of-consecutive-one-in-matrix,"Array,Dynamic Programming,Matrix",Medium,
563,Binary Tree Tilt,binary-tree-tilt,"Tree,Depth-First Search,Binary Tree",Easy,1609
564,Find the Closest Palindrome,find-the-closest-palindrome,"Math,String",Hard,"1375,1997"
565,Array Nesting,array-nesting,"Array,Depth-First Search",Medium,"339,341,364"
566,Reshape the Matrix,reshape-the-matrix,"Array,Matrix,Simulation",Easy,2132
567,Permutation in String,permutation-in-string,"Hash Table,Two Pointers,String,Sliding Window",Medium,"76,438"
568,Maximum Vacation Days,maximum-vacation-days,"Array,Dynamic Programming,Matrix",Hard,803
569,Median Employee Salary,median-employee-salary,Database,Hard,571
570,Managers with at Least 5 Direct Reports,managers-with-at-least-5-direct-reports,Database,Medium,
571,Find Median Given Frequency of Numbers,find-median-given-frequency-of-numbers,Database,Hard,569
572,Subtree of Another Tree,subtree-of-another-tree,"Tree,Depth-First Search,String Matching,Binary Tree,Hash Function",Easy,"250,508"
573,Squirrel Simulation,squirrel-simulation,"Array,Math",Medium,
574,Winning Candidate,winning-candidate,Database,Medium,
575,Distribute Candies,distribute-candies,"Array,Hash Table",Easy,
576,Out of Boundary Paths,out-of-boundary-paths,Dynamic Programming,Medium,"688,2239"
577,Employee Bonus,employee-bonus,Database,Easy,175
578,Get Highest Answer Rate Question,get-highest-answer-rate-question,Database,Medium,
579,Find Cumulative Salary of an Employee,find-cumulative-salary-of-an-employee,Database,Hard,
580,Count Student Number in Departments,count-student-number-in-departments,Database,Medium,
581,Shortest Unsorted Continuous Subarray,shortest-unsorted-continuous-subarray,"Array,Two Pointers,Stack,Greedy,Sorting,Monotonic Stack",Medium,
582,Kill Process,kill-process,"Array,Hash Table,Tree,Depth-First Search,Breadth-First Search",Medium,
583,Delete Operation for Two Strings,delete-operation-for-two-strings,"String,Dynamic Programming",Medium,"72,712,1250"
584,Find Customer Referee,find-customer-referee,Database,Easy,
585,Investments in 2016,investments-in-2016,Database,Medium,
586,Customer Placing the Largest Number of Orders,customer-placing-the-largest-number-of-orders,Database,Easy,
587,Erect the Fence,erect-the-fence,"Array,Math,Geometry",Hard,2074
588,Design In-Memory File System,design-in-memory-file-system,"Hash Table,String,Design,Trie",Hard,"146,460,635"
591,Tag Validator,tag-validator,"String,Stack",Hard,616
592,Fraction Addition and Subtraction,fraction-addition-and-subtraction,"Math,String,Simulation",Medium,640
593,Valid Square,valid-square,"Math,Geometry",Medium,
594,Longest Harmonious Subsequence,longest-harmonious-subsequence,"Array,Hash Table,Sorting",Easy,
595,Big Countries,big-countries,Database,Easy,
596,Classes More Than 5 Students,classes-more-than-5-students,Database,Easy,
597,Friend Requests I: Overall Acceptance Rate,friend-requests-i-overall-acceptance-rate,Database,Easy,
598,Range Addition II,range-addition-ii,"Array,Math",Easy,370
599,Minimum Index Sum of Two Lists,minimum-index-sum-of-two-lists,"Array,Hash Table,String",Easy,160
600,Non-negative Integers without Consecutive Ones,non-negative-integers-without-consecutive-ones,Dynamic Programming,Hard,"198,213,474"
601,Human Traffic of Stadium,human-traffic-of-stadium,Database,Hard,
602,Friend Requests II: Who Has the Most Friends,friend-requests-ii-who-has-the-most-friends,Database,Medium,
603,Consecutive Available Seats,consecutive-available-seats,Database,Easy,
604,Design Compressed String Iterator,design-compressed-string-iterator,"Array,Hash Table,String,Design,Iterator",Easy,"146,443"
605,Can Place Flowers,can-place-flowers,"Array,Greedy",Easy,"495,735"
606,Construct String from Binary Tree,construct-string-from-binary-tree,"String,Tree,Depth-First Search,Binary Tree",Easy,"536,652"
607,Sales Person,sales-person,Database,Easy,
608,Tree Node,tree-node,Database,Medium,
609,Find Duplicate File in System,find-duplicate-file-in-system,"Array,Hash Table,String",Medium,2079
610,Triangle Judgement,triangle-judgement,Database,Easy,
611,Valid Triangle Number,valid-triangle-number,"Array,Two Pointers,Binary Search,Greedy,Sorting",Medium,259
612,Shortest Distance in a Plane,shortest-distance-in-a-plane,Database,Medium,
613,Shortest Distance in a Line,shortest-distance-in-a-line,Database,Easy,
614,Second Degree Follower,second-degree-follower,Database,Medium,
615,Average Salary: Departments VS Company,average-salary-departments-vs-company,Database,Hard,1641
616,Add Bold Tag in String,add-bold-tag-in-string,"Array,Hash Table,String,Trie,String Matching",Medium,"56,591"
617,Merge Two Binary Trees,merge-two-binary-trees,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,
618,Students Report By Geography,students-report-by-geography,Database,Hard,
619,Biggest Single Number,biggest-single-number,Database,Easy,
620,Not Boring Movies,not-boring-movies,Database,Easy,
621,Task Scheduler,task-scheduler,"Array,Hash Table,Greedy,Sorting,Heap (Priority Queue),Counting",Medium,"358,778,2084"
623,Add One Row to Tree,add-one-row-to-tree,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Medium,
624,Maximum Distance in Arrays,maximum-distance-in-arrays,"Array,Greedy",Medium,
625,Minimum Factorization,minimum-factorization,"Math,Greedy",Medium,
626,Exchange Seats,exchange-seats,Database,Medium,
627,Swap Salary,swap-salary,Database,Easy,
628,Maximum Product of Three Numbers,maximum-product-of-three-numbers,"Array,Math,Sorting",Easy,152
629,K Inverse Pairs Array,k-inverse-pairs-array,Dynamic Programming,Hard,
630,Course Schedule III,course-schedule-iii,"Array,Greedy,Heap (Priority Queue)",Hard,"207,210,2176"
631,Design Excel Sum Formula,design-excel-sum-formula,"Graph,Design,Topological Sort",Hard,
632,Smallest Range Covering Elements from K Lists,smallest-range-covering-elements-from-k-lists,"Array,Hash Table,Greedy,Sliding Window,Sorting,Heap (Priority Queue)",Hard,76
633,Sum of Square Numbers,sum-of-square-numbers,"Math,Two Pointers,Binary Search",Medium,367
634,Find the Derangement of An Array,find-the-derangement-of-an-array,"Math,Dynamic Programming",Medium,
635,Design Log Storage System,design-log-storage-system,"Hash Table,String,Design,Ordered Set",Medium,588
636,Exclusive Time of Functions,exclusive-time-of-functions,"Array,Stack",Medium,
637,Average of Levels in Binary Tree,average-of-levels-in-binary-tree,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,"102,107"
638,Shopping Offers,shopping-offers,"Array,Dynamic Programming,Backtracking,Bit Manipulation,Memoization,Bitmask",Medium,
639,Decode Ways II,decode-ways-ii,"String,Dynamic Programming",Hard,"91,2091,2251"
640,Solve the Equation,solve-the-equation,"Math,String,Simulation",Medium,"592,2328"
642,Design Search Autocomplete System,design-search-autocomplete-system,"String,Design,Trie,Data Stream",Hard,208
643,Maximum Average Subarray I,maximum-average-subarray-i,"Array,Sliding Window",Easy,"644,2211"
644,Maximum Average Subarray II,maximum-average-subarray-ii,"Array,Binary Search",Hard,643
645,Set Mismatch,set-mismatch,"Array,Hash Table,Bit Manipulation,Sorting",Easy,287
646,Maximum Length of Pair Chain,maximum-length-of-pair-chain,"Array,Dynamic Programming,Greedy,Sorting",Medium,"300,491"
647,Palindromic Substrings,palindromic-substrings,"String,Dynamic Programming",Medium,"5,516"
648,Replace Words,replace-words,"Array,Hash Table,String,Trie",Medium,208
649,Dota2 Senate,dota2-senate,"String,Greedy,Queue",Medium,495
650,2 Keys Keyboard,2-keys-keyboard,"Math,Dynamic Programming",Medium,"651,1033"
651,4 Keys Keyboard,4-keys-keyboard,"Math,Dynamic Programming",Medium,650
652,Find Duplicate Subtrees,find-duplicate-subtrees,"Hash Table,Tree,Depth-First Search,Binary Tree",Medium,"297,449,606,2079"
653,Two Sum IV - Input is a BST,two-sum-iv-input-is-a-bst,"Hash Table,Two Pointers,Tree,Depth-First Search,Breadth-First Search,Binary Search Tree,Binary Tree",Easy,"1,167,170,1150"
654,Maximum Binary Tree,maximum-binary-tree,"Array,Divide and Conquer,Stack,Tree,Monotonic Stack,Binary Tree",Medium,1040
655,Print Binary Tree,print-binary-tree,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Medium,
656,Coin Path,coin-path,"Array,Dynamic Programming",Hard,"198,213"
657,Robot Return to Origin,robot-return-to-origin,"String,Simulation",Easy,"547,2239"
658,Find K Closest Elements,find-k-closest-elements,"Array,Two Pointers,Binary Search,Sorting,Heap (Priority Queue)",Medium,"374,375,719"
659,Split Array into Consecutive Subsequences,split-array-into-consecutive-subsequences,"Array,Hash Table,Greedy,Heap (Priority Queue)",Medium,"347,1422"
660,Remove 9,remove-9,Math,Hard,
661,Image Smoother,image-smoother,"Array,Matrix",Easy,
662,Maximum Width of Binary Tree,maximum-width-of-binary-tree,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Medium,
663,Equal Tree Partition,equal-tree-partition,"Tree,Depth-First Search,Binary Tree",Medium,
664,Strange Printer,strange-printer,"String,Dynamic Programming",Hard,"546,1696"
665,Non-decreasing Array,non-decreasing-array,Array,Medium,2205
666,Path Sum IV,path-sum-iv,"Array,Tree,Depth-First Search,Binary Tree",Medium,"112,113,124,437"
667,Beautiful Arrangement II,beautiful-arrangement-ii,"Array,Math",Medium,526
668,Kth Smallest Number in Multiplication Table,kth-smallest-number-in-multiplication-table,Binary Search,Hard,"378,719,802"
669,Trim a Binary Search Tree,trim-a-binary-search-tree,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",Medium,
670,Maximum Swap,maximum-swap,"Math,Greedy",Medium,321
671,Second Minimum Node In a Binary Tree,second-minimum-node-in-a-binary-tree,"Tree,Depth-First Search,Binary Tree",Easy,230
672,Bulb Switcher II,bulb-switcher-ii,"Math,Bit Manipulation,Depth-First Search,Breadth-First Search",Medium,"319,1491"
673,Number of Longest Increasing Subsequence,number-of-longest-increasing-subsequence,"Array,Dynamic Programming,Binary Indexed Tree,Segment Tree",Medium,"300,674"
674,Longest Continuous Increasing Subsequence,longest-continuous-increasing-subsequence,Array,Easy,"673,727"
675,Cut Off Trees for Golf Event,cut-off-trees-for-golf-event,"Array,Breadth-First Search,Heap (Priority Queue),Matrix",Hard,
676,Implement Magic Dictionary,implement-magic-dictionary,"Hash Table,String,Design,Trie",Medium,"208,720"
677,Map Sum Pairs,map-sum-pairs,"Hash Table,String,Design,Trie",Medium,1333
678,Valid Parenthesis String,valid-parenthesis-string,"String,Dynamic Programming,Stack,Greedy",Medium,"763,2221"
679,24 Game,24-game,"Array,Math,Backtracking",Hard,
680,Valid Palindrome II,valid-palindrome-ii,"Two Pointers,String,Greedy",Easy,"125,1178"
681,Next Closest Time,next-closest-time,"String,Enumeration",Medium,
682,Baseball Game,baseball-game,"Array,Stack,Simulation",Easy,1720
683,K Empty Slots,k-empty-slots,"Array,Binary Indexed Tree,Sliding Window,Ordered Set",Hard,
684,Redundant Connection,redundant-connection,"Depth-First Search,Breadth-First Search,Union Find,Graph",Medium,"685,721,2246"
685,Redundant Connection II,redundant-connection-ii,"Depth-First Search,Breadth-First Search,Union Find,Graph",Hard,684
686,Repeated String Match,repeated-string-match,"String,String Matching",Medium,459
687,Longest Univalue Path,longest-univalue-path,"Tree,Depth-First Search,Binary Tree",Medium,"124,250,437"
688,Knight Probability in Chessboard,knight-probability-in-chessboard,Dynamic Programming,Medium,576
689,Maximum Sum of 3 Non-Overlapping Subarrays,maximum-sum-of-3-non-overlapping-subarrays,"Array,Dynamic Programming",Hard,123
690,Employee Importance,employee-importance,"Hash Table,Depth-First Search,Breadth-First Search",Medium,339
691,Stickers to Spell Word,stickers-to-spell-word,"Dynamic Programming,Backtracking,Bit Manipulation,Bitmask",Hard,383
692,Top K Frequent Words,top-k-frequent-words,"Hash Table,String,Trie,Sorting,Heap (Priority Queue),Bucket Sort,Counting",Medium,"347,1014,1919"
693,Binary Number with Alternating Bits,binary-number-with-alternating-bits,Bit Manipulation,Easy,191
694,Number of Distinct Islands,number-of-distinct-islands,"Hash Table,Depth-First Search,Breadth-First Search,Union Find,Hash Function",Medium,"200,711,2035"
695,Max Area of Island,max-area-of-island,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix",Medium,"200,463,1845,2206"
696,Count Binary Substrings,count-binary-substrings,"Two Pointers,String",Easy,271
697,Degree of an Array,degree-of-an-array,"Array,Hash Table",Easy,53
698,Partition to K Equal Sum Subsets,partition-to-k-equal-sum-subsets,"Array,Dynamic Programming,Backtracking,Bit Manipulation,Memoization,Bitmask",Medium,"416,2135"
699,Falling Squares,falling-squares,"Array,Segment Tree,Ordered Set",Hard,218
711,Number of Distinct Islands II,number-of-distinct-islands-ii,"Hash Table,Depth-First Search,Breadth-First Search,Union Find,Hash Function",Hard,694
712,Minimum ASCII Delete Sum for Two Strings,minimum-ascii-delete-sum-for-two-strings,"String,Dynamic Programming",Medium,"72,300,583"
713,Subarray Product Less Than K,subarray-product-less-than-k,"Array,Sliding Window",Medium,"152,325,560,1083,2233"
714,Best Time to Buy and Sell Stock with Transaction Fee,best-time-to-buy-and-sell-stock-with-transaction-fee,"Array,Dynamic Programming,Greedy",Medium,122
715,Range Module,range-module,"Design,Segment Tree,Ordered Set",Hard,"56,57,352"
716,Max Stack,max-stack,"Linked List,Stack,Design,Doubly-Linked List,Ordered Set",Easy,155
717,1-bit and 2-bit Characters,1-bit-and-2-bit-characters,Array,Easy,89
718,Maximum Length of Repeated Subarray,maximum-length-of-repeated-subarray,"Array,Binary Search,Dynamic Programming,Sliding Window,Rolling Hash,Hash Function",Medium,"209,2051"
719,Find K-th Smallest Pair Distance,find-k-th-smallest-pair-distance,"Array,Two Pointers,Binary Search,Sorting",Hard,"373,378,658,668,802"
720,Longest Word in Dictionary,longest-word-in-dictionary,"Array,Hash Table,String,Trie,Sorting",Medium,"524,676,2009"
721,Accounts Merge,accounts-merge,"Array,String,Depth-First Search,Breadth-First Search,Union Find",Medium,"684,734,737"
722,Remove Comments,remove-comments,"Array,String",Medium,"385,439"
723,Candy Crush,candy-crush,"Array,Two Pointers,Matrix,Simulation",Medium,
724,Find Pivot Index,find-pivot-index,"Array,Prefix Sum",Easy,"560,2102,2369"
725,Split Linked List in Parts,split-linked-list-in-parts,Linked List,Medium,"61,328"
726,Number of Atoms,number-of-atoms,"Hash Table,String,Stack,Sorting",Hard,"394,471,736"
727,Minimum Window Subsequence,minimum-window-subsequence,"String,Dynamic Programming,Sliding Window",Hard,"76,674"
728,Self Dividing Numbers,self-dividing-numbers,Math,Easy,507
729,My Calendar I,my-calendar-i,"Design,Segment Tree,Ordered Set",Medium,"731,732"
730,Count Different Palindromic Subsequences,count-different-palindromic-subsequences,"String,Dynamic Programming",Hard,516
731,My Calendar II,my-calendar-ii,"Design,Segment Tree,Ordered Set",Medium,"729,732"
732,My Calendar III,my-calendar-iii,"Design,Segment Tree,Ordered Set",Hard,"729,731"
733,Flood Fill,flood-fill,"Array,Depth-First Search,Breadth-First Search,Matrix",Easy,463
734,Sentence Similarity,sentence-similarity,"Array,Hash Table,String",Easy,"547,721,737"
735,Asteroid Collision,asteroid-collision,"Array,Stack",Medium,"605,2245,2317"
736,Parse Lisp Expression,parse-lisp-expression,"Hash Table,String,Stack,Recursion",Hard,"439,726,781"
737,Sentence Similarity II,sentence-similarity-ii,"Array,Hash Table,String,Depth-First Search,Breadth-First Search,Union Find",Medium,"547,721,734"
738,Monotone Increasing Digits,monotone-increasing-digits,"Math,Greedy",Medium,402
739,Daily Temperatures,daily-temperatures,"Array,Stack,Monotonic Stack",Medium,"496,937"
740,Delete and Earn,delete-and-earn,"Array,Hash Table,Dynamic Programming",Medium,198
741,Cherry Pickup,cherry-pickup,"Array,Dynamic Programming,Matrix",Hard,"64,174,2189"
742,To Lower Case,to-lower-case,String,Easy,2235
743,Closest Leaf in a Binary Tree,closest-leaf-in-a-binary-tree,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Medium,
744,Network Delay Time,network-delay-time,"Depth-First Search,Breadth-First Search,Graph,Heap (Priority Queue),Shortest Path",Medium,"2151,2171"
745,Find Smallest Letter Greater Than Target,find-smallest-letter-greater-than-target,"Array,Binary Search",Easy,2269
746,Prefix and Suffix Search,prefix-and-suffix-search,"String,Design,Trie",Hard,211
747,Min Cost Climbing Stairs,min-cost-climbing-stairs,"Array,Dynamic Programming",Easy,70
748,Largest Number At Least Twice of Others,largest-number-at-least-twice-of-others,"Array,Sorting",Easy,"2274,2327"
749,Shortest Completing Word,shortest-completing-word,"Array,Hash Table,String",Easy,
750,Contain Virus,contain-virus,"Array,Depth-First Search,Breadth-First Search,Matrix,Simulation",Hard,
751,Number Of Corner Rectangles,number-of-corner-rectangles,"Array,Math,Dynamic Programming,Matrix",Medium,
752,IP to CIDR,ip-to-cidr,"String,Bit Manipulation",Medium,"93,468"
753,Open the Lock,open-the-lock,"Array,Hash Table,String,Breadth-First Search",Medium,
754,Cracking the Safe,cracking-the-safe,"Depth-First Search,Graph,Eulerian Circuit",Hard,
755,Reach a Number,reach-a-number,"Math,Binary Search",Medium,
756,Pour Water,pour-water,"Array,Simulation",Medium,42
757,Pyramid Transition Matrix,pyramid-transition-matrix,"Bit Manipulation,Depth-First Search,Breadth-First Search",Medium,
758,Convert Binary Search Tree to Sorted Doubly Linked List,convert-binary-search-tree-to-sorted-doubly-linked-list,"Linked List,Stack,Tree,Depth-First Search,Binary Search Tree,Binary Tree,Doubly-Linked List",Medium,94
759,Set Intersection Size At Least Two,set-intersection-size-at-least-two,"Array,Greedy,Sorting",Hard,
760,Bold Words in String,bold-words-in-string,"Array,Hash Table,String,Trie,String Matching",Medium,
761,Employee Free Time,employee-free-time,"Array,Sorting,Heap (Priority Queue)",Hard,"56,1028"
762,Find Anagram Mappings,find-anagram-mappings,"Array,Hash Table",Easy,
763,Special Binary String,special-binary-string,"String,Recursion",Hard,678
764,N-ary Tree Level Order Traversal,n-ary-tree-level-order-traversal,"Tree,Breadth-First Search",Medium,"102,775,776,2151"
765,Serialize and Deserialize N-ary Tree,serialize-and-deserialize-n-ary-tree,"String,Tree,Depth-First Search,Breadth-First Search",Hard,"297,449,771"
766,Flatten a Multilevel Doubly Linked List,flatten-a-multilevel-doubly-linked-list,"Linked List,Depth-First Search,Doubly-Linked List",Medium,"114,1796"
767,Prime Number of Set Bits in Binary Representation,prime-number-of-set-bits-in-binary-representation,"Math,Bit Manipulation",Easy,191
768,Partition Labels,partition-labels,"Hash Table,Two Pointers,String,Greedy",Medium,56
769,Largest Plus Sign,largest-plus-sign,"Array,Dynamic Programming",Medium,221
770,Couples Holding Hands,couples-holding-hands,"Greedy,Depth-First Search,Breadth-First Search,Union Find,Graph",Hard,"41,268,884"
771,Encode N-ary Tree to Binary Tree,encode-n-ary-tree-to-binary-tree,"Tree,Depth-First Search,Breadth-First Search,Design,Binary Tree",Hard,765
772,Construct Quad Tree,construct-quad-tree,"Array,Divide and Conquer,Tree,Matrix",Medium,
773,Logical OR of Two Binary Grids Represented as Quad-Trees,logical-or-of-two-binary-grids-represented-as-quad-trees,"Divide and Conquer,Tree",Medium,
774,Maximum Depth of N-ary Tree,maximum-depth-of-n-ary-tree,"Tree,Depth-First Search,Breadth-First Search",Easy,"104,2151"
775,N-ary Tree Preorder Traversal,n-ary-tree-preorder-traversal,"Stack,Tree,Depth-First Search",Easy,"144,764,776"
776,N-ary Tree Postorder Traversal,n-ary-tree-postorder-traversal,"Stack,Tree,Depth-First Search",Easy,"145,764,775"
777,Toeplitz Matrix,toeplitz-matrix,"Array,Matrix",Easy,422
778,Reorganize String,reorganize-string,"Hash Table,String,Greedy,Sorting,Heap (Priority Queue),Counting",Medium,"358,621,1304"
779,Max Chunks To Make Sorted II,max-chunks-to-make-sorted-ii,"Array,Stack,Greedy,Sorting,Monotonic Stack",Hard,780
780,Max Chunks To Make Sorted,max-chunks-to-make-sorted,"Array,Stack,Greedy,Sorting,Monotonic Stack",Medium,779
781,Basic Calculator IV,basic-calculator-iv,"Hash Table,Math,String,Stack,Recursion",Hard,"736,785"
782,Jewels and Stones,jewels-and-stones,"Hash Table,String",Easy,
783,Search in a Binary Search Tree,search-in-a-binary-search-tree,"Tree,Binary Search Tree,Binary Tree",Easy,"270,784"
784,Insert into a Binary Search Tree,insert-into-a-binary-search-tree,"Tree,Binary Search Tree,Binary Tree",Medium,783
785,Basic Calculator III,basic-calculator-iii,"Math,String,Stack,Recursion",Hard,"224,227,781,1736"
786,Search in a Sorted Array of Unknown Size,search-in-a-sorted-array-of-unknown-size,"Array,Binary Search,Interactive",Medium,"792,1672"
787,Sliding Puzzle,sliding-puzzle,"Array,Breadth-First Search,Matrix",Hard,
788,Minimize Max Distance to Gas Station,minimize-max-distance-to-gas-station,"Array,Binary Search",Hard,907
789,Kth Largest Element in a Stream,kth-largest-element-in-a-stream,"Tree,Design,Binary Search Tree,Heap (Priority Queue),Binary Tree,Data Stream",Easy,"215,1953,2207"
790,Global and Local Inversions,global-and-local-inversions,"Array,Math",Medium,
791,Split BST,split-bst,"Tree,Binary Search Tree,Recursion,Binary Tree",Medium,450
792,Binary Search,binary-search,"Array,Binary Search",Easy,786
793,Swap Adjacent in LR String,swap-adjacent-in-lr-string,"Two Pointers,String",Medium,
794,Swim in Rising Water,swim-in-rising-water,"Array,Binary Search,Depth-First Search,Breadth-First Search,Union Find,Heap (Priority Queue),Matrix",Hard,1753
795,K-th Symbol in Grammar,k-th-symbol-in-grammar,"Math,Bit Manipulation,Recursion",Medium,
796,Reaching Points,reaching-points,Math,Hard,
797,Rabbits in Forest,rabbits-in-forest,"Array,Hash Table,Math,Greedy",Medium,
798,Transform to Chessboard,transform-to-chessboard,"Array,Math,Bit Manipulation,Matrix",Hard,
799,Minimum Distance Between BST Nodes,minimum-distance-between-bst-nodes,"Tree,Depth-First Search,Breadth-First Search,Binary Search Tree,Binary Tree",Easy,94
800,Letter Case Permutation,letter-case-permutation,"String,Backtracking,Bit Manipulation",Medium,"78,1076"
801,Is Graph Bipartite?,is-graph-bipartite,"Depth-First Search,Breadth-First Search,Union Find,Graph",Medium,
802,K-th Smallest Prime Fraction,k-th-smallest-prime-fraction,"Array,Binary Search,Heap (Priority Queue)",Hard,"378,668,719"
803,Cheapest Flights Within K Stops,cheapest-flights-within-k-stops,"Dynamic Programming,Depth-First Search,Breadth-First Search,Graph,Heap (Priority Queue),Shortest Path",Medium,"568,2230"
804,Rotated Digits,rotated-digits,"Math,Dynamic Programming",Medium,
805,Escape The Ghosts,escape-the-ghosts,"Array,Math",Medium,1727
806,Domino and Tromino Tiling,domino-and-tromino-tiling,Dynamic Programming,Medium,
807,Custom Sort String,custom-sort-string,"Hash Table,String,Sorting",Medium,
808,Number of Matching Subsequences,number-of-matching-subsequences,"Hash Table,String,Trie,Sorting",Medium,"392,1051,2186"
809,Preimage Size of Factorial Zeroes Function,preimage-size-of-factorial-zeroes-function,"Math,Binary Search",Hard,172
810,Valid Tic-Tac-Toe State,valid-tic-tac-toe-state,"Array,String",Medium,348
811,Number of Subarrays with Bounded Maximum,number-of-subarrays-with-bounded-maximum,"Array,Two Pointers",Medium,
812,Rotate String,rotate-string,"String,String Matching",Easy,
813,All Paths From Source to Target,all-paths-from-source-to-target,"Backtracking,Depth-First Search,Breadth-First Search,Graph",Medium,2090
814,Smallest Rotation with Highest Score,smallest-rotation-with-highest-score,"Array,Prefix Sum",Hard,
815,Champagne Tower,champagne-tower,Dynamic Programming,Medium,1385
816,Design HashSet,design-hashset,"Array,Hash Table,Linked List,Design,Hash Function",Easy,"817,1337"
817,Design HashMap,design-hashmap,"Array,Hash Table,Linked List,Design,Hash Function",Easy,"816,1337"
818,Similar RGB Color,similar-rgb-color,"Math,String,Enumeration",Easy,
819,Minimum Swaps To Make Sequences Increasing,minimum-swaps-to-make-sequences-increasing,"Array,Dynamic Programming",Hard,2234
820,Find Eventual Safe States,find-eventual-safe-states,"Depth-First Search,Breadth-First Search,Graph,Topological Sort",Medium,
821,Bricks Falling When Hit,bricks-falling-when-hit,"Array,Union Find,Matrix",Hard,"2101,2322"
822,Unique Morse Code Words,unique-morse-code-words,"Array,Hash Table,String",Easy,
823,Split Array With Same Average,split-array-with-same-average,"Array,Math,Dynamic Programming,Bit Manipulation,Bitmask",Hard,2162
824,Number of Lines To Write String,number-of-lines-to-write-string,"Array,String",Easy,
825,Max Increase to Keep City Skyline,max-increase-to-keep-city-skyline,"Array,Greedy,Matrix",Medium,
826,Soup Servings,soup-servings,"Math,Dynamic Programming,Probability and Statistics",Medium,
827,Expressive Words,expressive-words,"Array,Two Pointers,String",Medium,
828,Chalkboard XOR Game,chalkboard-xor-game,"Array,Math,Bit Manipulation,Brainteaser,Game Theory",Hard,
829,Subdomain Visit Count,subdomain-visit-count,"Array,Hash Table,String,Counting",Medium,
830,Largest Triangle Area,largest-triangle-area,"Array,Math,Geometry",Easy,1018
831,Largest Sum of Averages,largest-sum-of-averages,"Array,Dynamic Programming",Medium,
832,Binary Tree Pruning,binary-tree-pruning,"Tree,Depth-First Search,Binary Tree",Medium,
833,Bus Routes,bus-routes,"Array,Hash Table,Breadth-First Search",Hard,
834,Ambiguous Coordinates,ambiguous-coordinates,"String,Backtracking",Medium,
835,Linked List Components,linked-list-components,"Hash Table,Linked List",Medium,2299
836,Race Car,race-car,Dynamic Programming,Hard,
837,Most Common Word,most-common-word,"Hash Table,String,Counting",Easy,
838,Design Linked List,design-linked-list,"Linked List,Design",Medium,1337
839,Short Encoding of Words,short-encoding-of-words,"Array,Hash Table,String,Trie",Medium,
841,Shortest Distance to a Character,shortest-distance-to-a-character,"Array,Two Pointers,String",Easy,
842,Card Flipping Game,card-flipping-game,"Array,Hash Table",Medium,
843,Binary Trees With Factors,binary-trees-with-factors,"Array,Hash Table,Dynamic Programming",Medium,
850,Insert into a Sorted Circular Linked List,insert-into-a-sorted-circular-linked-list,Linked List,Medium,147
851,Goat Latin,goat-latin,String,Easy,
852,Friends Of Appropriate Ages,friends-of-appropriate-ages,"Array,Two Pointers,Binary Search,Sorting",Medium,
853,Most Profit Assigning Work,most-profit-assigning-work,"Array,Two Pointers,Binary Search,Greedy,Sorting",Medium,2180
854,Making A Large Island,making-a-large-island,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix",Hard,
855,Count Unique Characters of All Substrings of a Given String,count-unique-characters-of-all-substrings-of-a-given-string,"String,Dynamic Programming",Hard,
856,Consecutive Numbers Sum,consecutive-numbers-sum,"Math,Enumeration",Hard,
857,Positions of Large Groups,positions-of-large-groups,String,Easy,2260
858,Masking Personal Information,masking-personal-information,String,Medium,
859,Design Circular Deque,design-circular-deque,"Array,Linked List,Design,Queue",Medium,"860,1767"
860,Design Circular Queue,design-circular-queue,"Array,Linked List,Design,Queue",Medium,"859,1767"
861,Flipping an Image,flipping-an-image,"Array,Two Pointers,Matrix,Simulation",Easy,
862,Find And Replace in String,find-and-replace-in-string,"Array,String,Sorting",Medium,
863,Sum of Distances in Tree,sum-of-distances-in-tree,"Dynamic Programming,Tree,Depth-First Search,Graph",Hard,"1021,2175"
864,Image Overlap,image-overlap,"Array,Matrix",Medium,
865,Robot Room Cleaner,robot-room-cleaner,"Backtracking,Interactive",Hard,"286,1931,1959,2203"
